gene,cases_synonymous,cases_missense,cases_PTVs,control_synonymous,control_missense,control_PTVs,sample_synonymous,sample_missense,sample_PTVs,pval_synonymous,OR_synonymous,lowci_synonymous,highci_synonymous,pval_missense,OR_missense,lowci_missense,highci_missense,pval_PTVs,OR_PTVs,lowci_PTVs,highci_PTVs,cases_missense_MPC>=2,control_missense_MPC>=2,sample_missense_MPC>=2,pval_missense_MPC>=2,OR_missense_MPC>=2,lowci_missense_MPC>=2,highci_missense_MPC>=2
TRIO,15,25,0,2,1,0,17,26,0,3.857795222207713e-06,15.268570454060447,3.5477712117820728,137.60105394724334,1.5697056724397898e-11,51.040122655085,8.347040332219455,2074.010801809637,,,,,,,,,,,
TRIOBP,1,4,0,0,1,0,1,5,0,0.3301717508331197,inf,0.052018464830419324,inf,0.04369005683308515,8.1207798198385,0.8032690926837996,399.203114621839,,,,,,,,,,,
TRIP10,1,10,0,0,1,0,1,11,0,0.3301717508331197,inf,0.052018464830419324,inf,0.00011768591224542417,20.33314848260924,2.890694879450099,878.9265687414273,,,,,,,,,,,
TRIP11,9,15,1,1,5,0,10,19,1,0.00032590626526179137,18.295350140943587,2.533494880794694,799.0242016913644,0.00014630601735684794,6.10492720869362,2.1072358513243907,21.486879880856122,0.3301717508331197,inf,0.052018464830419324,inf,,,,,,,
TRIP12,4,7,0,0,1,0,4,8,0,0.011871559049826107,inf,1.3398046898434977,inf,0.002425670961266237,14.223242774062946,1.8260873738401735,639.1543464747642,,,,,,,,,,,
TRIP13,1,2,0,0,0,0,1,2,0,0.3301717508331197,inf,0.052018464830419324,inf,0.108994485854413,inf,0.3810289196999768,inf,,,,,,,,,,,
TRIP4,2,5,0,0,0,0,2,5,0,0.108994485854413,inf,0.3810289196999768,inf,0.003916934604011342,inf,1.860234948898496,inf,,,,,,,,,,,
TRIP6,0,4,1,0,0,0,0,4,1,,,,,0.011871559049826107,inf,1.3398046898434977,inf,0.3301717508331197,inf,0.052018464830419324,inf,,,,,,,
TRIT1,2,4,0,0,0,0,2,4,0,0.108994485854413,inf,0.3810289196999768,inf,0.011871559049826107,inf,1.3398046898434977,inf,,,,,,,,,,,
TRMT1,1,7,1,0,0,0,1,7,1,0.3301717508331197,inf,0.052018464830419324,inf,0.00042618407311165803,inf,2.9271852990982574,inf,0.3301717508331197,inf,0.052018464830419324,inf,,,,,,,
TRMT10A,1,2,0,0,0,1,1,2,1,0.3301717508331197,inf,0.052018464830419324,inf,0.108994485854413,inf,0.3810289196999768,inf,1.0,0.0,0.0,79.02388266631878,,,,,,,
TRMT10B,1,1,1,0,0,0,1,1,1,0.3301717508331197,inf,0.052018464830419324,inf,0.3301717508331197,inf,0.052018464830419324,inf,0.3301717508331197,inf,0.052018464830419324,inf,,,,,,,
TRMT10C,1,0,0,0,0,0,1,0,0,0.3301717508331197,inf,0.052018464830419324,inf,,,,,,,,,,,,,,,
TRMT11,3,2,0,0,1,0,3,3,0,0.03597442136310939,inf,0.8385372201147251,inf,0.2550346148370204,4.058485292018265,0.21121917126250336,239.14629870833855,,,,,,,,,,,
TRMT12,2,8,0,0,0,0,2,8,0,0.108994485854413,inf,0.3810289196999768,inf,0.0001405430890895745,inf,3.467511955277286,inf,,,,,,,,,,,
TRMT13,0,2,1,0,0,0,0,2,1,,,,,0.108994485854413,inf,0.3810289196999768,inf,0.3301717508331197,inf,0.052018464830419324,inf,,,,,,,
TRMT1L,0,0,1,1,0,0,1,0,1,1.0,0.0,0.0,79.02388266631878,,,,,0.3301717508331197,inf,0.052018464830419324,inf,,,,,,,
