gene,cases_synonymous,cases_missense,cases_PTVs,control_synonymous,control_missense,control_PTVs,sample_synonymous,sample_missense,sample_PTVs,pval_synonymous,OR_synonymous,lowci_synonymous,highci_synonymous,pval_missense,OR_missense,lowci_missense,highci_missense,pval_PTVs,OR_PTVs,lowci_PTVs,highci_PTVs,cases_missense_MPC>=2,control_missense_MPC>=2,sample_missense_MPC>=2,pval_missense_MPC>=2,OR_missense_MPC>=2,lowci_missense_MPC>=2,highci_missense_MPC>=2
A1BG,7,22,3,10,32,3,17,53,6,0.4518428640996506,1.420868758136642,0.45861976412014593,4.139027911583471,0.24637931746725736,1.3970132374251842,0.7722546932100102,2.483813851122725,0.4036187918150712,2.029450965679079,0.2716851749529328,15.1641955057073,,,,,,,
A1CF,215,96,0,506,168,1,712,264,1,0.060135689258235335,0.8538697704372781,0.7209673864601199,1.0087389013234649,0.2604093954564942,1.1633028883988863,0.8928854967761861,1.508578901997221,1.0,0.0,0.0,79.02388266631878,,,,,,,
A2M,56,73,0,67,120,5,122,190,5,0.0037457523197904565,1.7058425851955137,1.1717934767860978,2.4750627444164888,0.1646630352127994,1.2385987413289945,0.91052409325494,1.6752705237996932,0.1784728082256422,0.0,0.0,2.213567354173002,,,,,,,
A2ML1,117,148,14,263,250,18,377,378,32,0.37501289197969256,0.8994816665361396,0.7145731096041229,1.1267619534137043,0.07368033556413851,1.2089704151065657,0.9760448363875978,1.4934247134115743,0.19366075069475144,1.5799688504478828,0.7264372593602719,3.3662449445866285,,,,,,,
A3GALT2,0,46,0,0,125,0,0,88,0,,,,,0.10101570124858092,0.7435225449655055,0.5171478879904098,1.0529512516586192,,,,,,,,,,,
A4GALT,21,22,0,32,21,0,53,43,0,0.30816562373798034,1.333181603621657,0.729533677319396,2.3879985561540384,0.014373359967716732,2.1316712801444084,1.1166019868286592,4.080271710288764,,,,,,,,,,,
A4GNT,47,49,23,118,76,50,165,125,73,0.24304567208851804,0.8057262829291609,0.5606194248714389,1.1416983986591396,0.15142591628048507,1.3118700606095552,0.8949362095579814,1.9076764993940312,0.9007271550053972,0.9328209737595236,0.5424244107870329,1.5600126725661565,,,,,,,
AAAS,49,21,2,105,41,3,154,62,5,0.7961798250493706,0.9460601078737098,0.6582574053839725,1.343427846629612,0.8927299883072192,1.0392962732797466,0.5826256626665968,1.8029251822865549,0.6676448300058453,1.3526811634140692,0.11290990395630232,11.810079668459116,,,,,,,
AACS,71,53,2,53,85,3,124,138,5,3.834955376446782e-08,2.7496258836251224,1.8951367613939545,4.010800849500173,0.2021021087023636,1.2685923709231612,0.8807681819311152,1.8130806014460776,0.6676448300058453,1.3526811634140692,0.11290990395630232,11.810079668459116,,,,,,,
AADAC,4,19,0,9,30,2,13,49,2,0.9999999999999998,0.9015655012744614,0.20275241979869071,3.232579437803829,0.4465838372459181,1.2861975222159086,0.6831716779261956,2.3648082390963934,1.0,0.0,0.0,10.799903524584739,,,,,,,
AADACL2,6,25,3,7,44,5,13,69,8,0.3773068285638457,1.7400187114707637,0.4827382547841415,6.051047141696516,0.6078887044379098,1.1536550710978548,0.6755493110167746,1.930182919213667,0.7242507908814891,1.21736024353506,0.18895067136064247,6.260925435187645,,,,,,,
AADACL3,29,111,0,57,202,1,83,311,1,0.90855411519659,1.0323675557981355,0.6353266947176756,1.644919841193002,0.3609868922803521,1.1181743893426803,0.8759261061348541,1.4214430875655673,1.0,0.0,0.0,79.02388266631878,,,,,,,
AADACL4,90,57,0,153,152,1,239,208,1,0.1902542535503404,1.197942077814245,0.9101301727942795,1.569221394803514,0.07533114388406834,0.7571894768823759,0.5469862002736876,1.0358979451550856,1.0,0.0,0.0,79.02388266631878,,,,,,,
AADAT,5,10,0,7,8,2,12,18,2,0.5464992991868801,1.4496635577595398,0.3625472126303657,5.309681023873035,0.0477917046062016,2.5396847286593958,0.9016642652410118,7.4114643947896015,1.0,0.0,0.0,10.799903524584739,3.0,0.0,3.0,0.03597442136310939,inf,0.8385372201147251,inf
AAED1,0,1,0,3,9,1,3,10,1,0.5555283985377909,0.0,0.0,4.909881158898293,0.18098649278991666,0.22520671438138265,0.00514087918095609,1.6264553033511746,1.0,0.0,0.0,79.02388266631878,,,,,,,
AAGAB,5,28,0,9,45,2,14,52,2,0.7836096245753491,1.1272167283261645,0.29655538434963896,3.7483342658131193,0.32125131509797755,1.2641718657109209,0.7581782671645211,2.0747183218018868,1.0,0.0,0.0,10.799903524584739,,,,,,,
AAK1,4,2,0,9,10,0,13,12,0,0.9999999999999998,0.9015655012744614,0.20275241979869071,3.232579437803829,0.35842439206481297,0.40546351636795797,0.043177219498606256,1.903981540352876,,,,,,,,,,,
AAMDC,0,10,1,2,14,0,2,24,1,1.0,0.0,0.0,10.799903524584739,0.3881856217027087,1.4502467960229004,0.5757430406999204,3.5139143044347496,0.3301717508331197,inf,0.052018464830419324,inf,,,,,,,
AAMP,26,21,0,47,30,0,73,51,0,0.6198258750456271,1.123085325859759,0.6665762956901932,1.854343469806328,0.23310530874904145,1.4224015961843304,0.7729094460771214,2.572282466940797,,,,,1.0,0.0,1.0,0.3301717508331197,inf,0.052018464830419324,inf
AANAT,2,3,0,0,5,0,2,8,0,0.108994485854413,inf,0.3810289196999768,inf,0.7242507908814891,1.21736024353506,0.18895067136064247,6.260925435187645,,,,,,,,,,,
